Regiões de Saúde,Código da R.S.,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,Renda média per capita (em R$),Razão de dependência,Índice de Desenvolvimento Humano,Taxa de desemprego,Densidade demográfica,População total,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,População masculina total,População feminina total,Percentual da população analfabeta de 15 anos ou mais,Percentual da população residente com renda domiciliar mensal per capita de até meio salário mínimo,Razão entre a renda dos 10% mais ricos e a dos 40% mais pobres,Recursos próprios por habitante (em R$),Gasto público em saúde como proporção do PIB,Percentual dos recursos próprios destinados à saúde,Recursos próprios destinados à saúde por habitante (em R$),Total das transferências SUS por habitante (em R$),Gasto público total em saúde por habitante (em R$),Equipamentos de ultrassonografia por 100 mil habitantes,Equipamentos de ultrassonografia diponíveis ao SUS por 100 mil habitantes,Enfermeiros por 100 mil habitantes,Enfermeiros disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários por 100 mil habitantes,Médicos Ginecologistas e Obstetras ou Mastologistas e Cirurgiões de Mama por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas por 100 mil habitantes",Médicos disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários disponíveis ao SUS por 100 mil habitantes,Médicos Ginecologistas Obstetras ou Mastologistas e Cirurgiões de Mama disponíveis ao SUS por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas disponíveis ao SUS por 100 mil habitantes",Leitos de UTI Neonatal por 1000 nascidos vivos,Leitos de UTI Neonatal disponíveis ao SUS por 1000 nascidos vivos,Percentual de partos hospitalares,Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente,Percentual da população coberta pela Estratégia Saúde da Família (ESF),Distância média percorrida (em km) para realização de parto hospitalar fora da Região de Saúde de residência,Percentual de partos hospitalares realizados fora da Região de Saúde de residência,Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária,Percentual da população coberta por planos e seguros de assistência suplementar à saúde,Cobertura populacional estimada pelas equipes de Atenção Básica,Taxa de histerectomias padronizada por idade por 100 mil mulheres de 20 anos ou mais,Percentual de nascidos vivos de mães que fizeram mais de 6 consultas pré-natal,Número de casos novos de sífilis congênita em menores de 1 ano,Taxa de mortalidade neonatal precoce (0 a 6 dias) por 1000 nascidos vivos,Taxa de mortalidade neonatal tardia (7 a 27 dias) por 1000 nascidos vivos,Taxa de mortalidade pós-neonatal (28 a 364 dias) por 1000 nascidos vivos,Número de óbitos maternos devidos a causas diretas por 100.000 nascidos vivos,Taxa de mortalidade infantil (menores de 1 ano) por 1000 nascidos vivos
Bauru,35062,94.4,96.2,97.4,929,41.72,0.782,6.1,73.6,610928,94.4,96.2,97.4,306682,304246,4.2,15.2,14,1166.9,1.4,20.6,240.1,66.9,311.6,15.7,4.9,86.4,84,2.78,2.78,7.2,84.46,2.78,1.8,6.71,3.4,1.1,99.7,100.4,19.8,98.2,1.7,0.48,33.6,27.4,110.7,80.5,15,6.2,2.8,2.7,26.5,11.7
Polo Cuesta,35063,89.4,91.7,96.3,818.34,45.27,0.761,6,45,287615,89.4,91.7,96.3,143882,143733,5.4,18.4,12.3,1183.3,1.8,22,260.8,74.4,338.8,22.3,12.5,125.5,122,7.65,11.82,15.99,136.99,7.65,10.43,13.56,4.5,4,99.3,96.8,33.1,59.4,1.8,0.73,25.8,35.2,110.9,79.3,7,5.1,2.1,4.3,53.3,11.5
Jaú,35064,95.2,97.3,97.3,796.41,42.7,0.76,4.4,73.3,328977,95.2,97.3,97.3,164624,164353,5.4,13.1,9.1,1099.3,2,23.7,260.3,52.7,331.1,15.5,5.8,103.4,102.4,1.52,1.22,2.13,75.08,1.52,0.91,1.82,1.2,1.2,100,97.8,28.1,96.8,1.9,0.56,14.5,40.7,112.3,81.5,1,7.4,2.4,2.6,24,12.5
Lins,35065,90.6,93.2,93.3,739.46,43.22,0.762,7.2,41.4,159700,90.6,93.2,93.3,80007,79693,5.3,15.8,9.3,1198.3,1.4,19.4,232.6,93.1,324.5,13.1,6.3,74.5,74.5,1.88,3.13,9.39,92.05,1.88,3.13,8.77,2.9,2.9,99.9,101.5,17.3,72.3,4.1,0.41,38.4,65.4,108.8,70,2,7.2,2.4,3.4,0,13
Bragança,35071,74,79,97.3,846.21,43.35,0.753,5,133.4,429020,74,79,97.3,215022,213998,5.6,18.2,13,1172.7,1.9,22.4,263.1,79.8,340.7,14.5,4.7,50.1,39.2,3.96,6.99,16.55,77.39,3.96,3.73,9.79,1.9,0.9,99.6,101.8,23.3,57.5,3.6,0.57,33.9,28.1,45.6,73.4,3,9,2.8,4.2,34.6,15.9
Região Metropolitana de Campinas,35072,94.7,90.3,99.4,1064.87,38.64,0.792,6.5,781,2876075,94.7,90.3,99.4,1429283,1446792,3.6,13.6,13.1,1754.3,1.6,22.1,387.7,131.8,545.8,16.1,4.7,83.2,67.8,5.04,17.84,22.46,91.44,5.04,6.43,13.87,3.3,1.7,99.7,94,21.5,84,1.7,0.5,45.7,16.6,84.9,83.4,70,4.8,2.2,3.4,28.4,10.4
Jundiaí,35073,88.6,91.3,99.4,1062.04,40.17,0.795,6.2,566.5,719460,88.6,91.3,99.4,358875,360585,3.7,12.8,12.6,1751.6,1,21.6,378.7,136.4,510,11.3,5.1,48.1,45.9,1.25,12.09,15.29,77.7,1.25,8.9,12.65,2.5,0,99.9,93.7,6.2,39.6,4.8,0.54,57.6,15.5,36.4,78.9,7,5.5,2.3,3.9,57.3,11.7
Circuito das Águas,35074,82.7,83.7,97.1,887.72,42.17,0.772,4.3,146.2,127006,82.7,83.7,97.1,63106,63900,5,13,11.4,1361.4,2.2,23.8,324.4,162.2,489.2,16.5,11.8,76.4,72.4,11.02,1.57,5.51,136.21,11.02,1.57,2.36,0,0,99.7,96.7,75.6,47.5,8.4,0.5,31,54.4,69.4,85.3,0,5.5,0.7,4.1,0,10.3
Três Colinas,35081,94.8,96.4,98,770.26,43.12,0.77,5.1,115.8,398180,94.8,96.4,98,197894,200286,3.8,15.4,10.1,905,1.8,25.8,233.8,76.3,289.8,9.8,2.8,31.6,30.6,2.51,4.77,6.28,74.59,2.51,1.76,4.02,3.5,0.9,99.8,95.8,16.7,99.2,0.8,0.46,30.7,14.5,103.2,75.8,4,6.8,1.6,2,36.6,10.4
Alta Anhanguera,35082,95.3,97.2,97,785.36,41.54,0.756,7,47.1,151303,95.3,97.2,97,75997,75306,5.7,15.2,10.5,1401.3,1.7,20.4,285.4,78.1,370.4,12.6,9.3,43.6,42.3,3.3,3.3,8.59,60.81,3.3,2.64,7.93,0,0,100,98.2,43.3,55.4,6.9,0.41,43.1,41.5,141.1,71.2,0,9.2,1,3.9,48.4,14.1
Alta Mogiana,35083,91,96,96.5,860.63,44.06,0.753,7.2,42.4,119608,91,96,96.5,59785,59823,7.5,18.5,15.9,1278.7,2.3,20,255.6,137.4,412.1,11.7,7.5,58.5,56,3.34,5.02,8.36,71.07,3.34,4.18,8.36,0,0,99.9,102,56.3,70.7,9.2,0.47,27.5,58.2,83.8,83.4,0,3.9,1.9,2.6,64.9,8.4
Adamantina,35091,92.4,93,93.4,700.49,41.32,0.758,6,52.9,132093,92.4,93,93.4,69421,62672,6.8,16.6,10.4,1160,2.9,21.7,252.1,143.7,384.1,16.7,8.3,84,79.5,3.03,0.76,3.79,58.29,3.03,0.76,3.79,0,0,99.9,99.9,32.9,88.4,11.5,0.77,12.2,73.4,87.5,90.5,0,7.3,0.7,0,0,8.1
Assis,35092,93.2,94,95.6,744.48,42.8,0.775,7.1,47.5,243198,93.2,94,95.6,121502,121696,5.2,18.3,11,1230.9,2.4,24.5,301.5,134.9,447.6,22.2,10.7,89.6,87.6,4.93,2.88,3.29,98.27,4.93,2.47,3.29,1.9,1.9,99.9,93.4,42.8,102,1.4,0.67,12.3,34.3,194.2,84,5,5.1,1.3,4.2,32,10.5
Marília,35093,93.4,94.5,95.2,800.54,43,0.78,7.2,55.1,372240,93.4,94.5,95.2,184041,188199,5.4,18,12.1,1107.6,2.8,22.5,249,214.8,479.2,14.2,6.4,105.6,100.5,16.39,7.79,18.81,128.95,16.39,6.72,16.66,3.7,1.7,99.8,97,62.3,66.1,1.7,0.68,25.6,75.9,116.5,88.8,0,4.3,2.8,5,21.7,12.1
Ourinhos,35094,92.9,89.9,95.4,741.88,45.75,0.757,6.6,58.7,224337,92.9,89.9,95.4,111465,112872,5.7,19.1,11.3,1140.5,2.3,21.6,246.3,152.8,409.4,23.2,8.9,57.5,51.7,2.23,2.67,3.57,67.31,2.23,1.78,2.67,1.6,1.6,99.8,107.1,26,85.7,4.1,0.62,23.2,50.2,155.6,80.5,5,4.3,2.6,4,32.9,10.9
Tupã,35095,89.4,92.8,91.4,720.99,45.19,0.756,6.1,47.3,128244,89.4,92.8,91.4,63777,64467,7.3,20.7,12.2,1139.2,2,18.9,215.4,111.8,337.7,8.6,6.2,76.4,76.4,7.02,0,1.56,53.02,7.02,0,1.56,1.4,1.4,99.9,98.5,65.6,67,9.5,0.75,15.1,72,129.1,79,0,7.2,1.4,2.9,0,11.5
Araras,35101,95.2,97.7,97.6,847.23,41.51,0.77,6.2,151.5,319109,95.2,97.7,97.6,160101,159008,5.3,15.4,11.8,1139.3,2,22.3,254.2,140,390.5,11,5,63.9,58.3,5.95,6.89,8.77,96.21,5.95,5.01,7.21,0,0,99.8,102.4,48.7,89.8,3.4,0.48,38.9,51.2,87,77,1,5.2,1.7,4.2,98.3,11.1
Limeira,35102,93.2,96.4,98.8,837.53,40.13,0.772,6.1,363,342730,93.2,96.4,98.8,171338,171392,4.1,15.8,10.8,1352.5,1.4,17.6,238.5,154,381.4,9,4.7,52.2,37.9,1.75,2.04,4.96,92.2,1.75,1.17,2.33,2.3,1.9,99.8,97.6,17.1,71.8,2.8,0.37,43.4,22.5,50.4,75.3,1,5.6,3.7,3.5,23.2,12.8
Piracicaba,35103,94.3,95.5,98.7,971.68,41.61,0.775,6.3,154.7,548022,94.3,95.5,98.7,273283,274739,3.6,14.7,13,1300.2,1.6,20.3,264.2,168.9,432.8,11.1,5.8,52.7,43.8,3.65,6.57,9.85,58.76,3.65,2.37,6.02,3,2.1,99.9,102.5,24.6,54.4,2.4,0.44,44.7,25.1,144.5,81.5,2,5,1.7,4.9,57.2,11.6
Rio Claro,35104,95.1,96.6,97.8,925.22,40.89,0.79,6.4,125.1,244645,95.1,96.6,97.8,122956,121689,3.6,12.2,12,1460.1,1.9,20.1,293.1,122.7,459.8,22.1,6.9,47.8,39.2,4.91,6.13,9.4,56.41,4.91,2.45,4.09,0.7,0.7,97.7,97.1,25.4,43.6,2.3,0.51,38.5,29.4,57.3,83.5,5,8.4,4,2.7,100.6,15.1
Alta Paulista,35111,91.9,86.5,91.8,688.29,42.87,0.749,5.7,39.2,129420,91.9,86.5,91.8,66865,62555,7.6,16.4,9.6,1233,3.2,22.1,272.5,145.7,424.2,14.7,8.5,81.1,81.1,9.27,1.55,3.86,82.68,9.27,0,3.09,0,0,99.7,100.4,53.8,75.8,14.1,0.62,12.8,63.5,143.7,83.5,1,7.1,2.1,5.7,0,15
Alta Sorocabana,35112,93,93.2,94.7,849.63,42.72,0.782,6.8,52.7,391358,93,93.2,94.7,193611,197747,5.4,17.6,13.4,1139,1.6,19.3,219.5,70.1,297.5,15.8,6.9,95.6,82.5,9.97,9.97,11.24,97.61,9.97,5.11,8.18,2.3,1.7,99.9,98.1,48.6,183,0.2,0.59,27.2,52.6,207.2,73.7,9,6,1,2.5,20.8,9.6
Alto Capivari,35113,90.5,91.3,92.2,636.69,45.71,0.744,7.3,16.3,57752,90.5,91.3,92.2,28910,28842,7.5,21.3,9.4,1563.6,1.7,23.7,370.6,129.4,498.5,6.9,5.2,81.4,81.4,6.93,0,0,70.99,6.93,0,0,0,0,99.9,106,93.3,51.5,27.8,1.05,20,85.9,174.1,85.2,0,11.7,2.6,2.6,0,16.9
Extremo Oeste Paulista,35114,88.2,85.3,90.4,658.64,42.11,0.749,8.4,24,95365,88.2,85.3,90.4,48428,46937,7.2,21.6,11.2,1137.2,3,21.4,243.3,119.1,354.8,12.6,3.1,48.2,48.2,9.44,2.1,2.1,40.9,9.44,2.1,2.1,0,0,99.9,99.9,73.2,71.2,14.2,0.7,15.3,78.3,370.8,79.1,0,9.1,3.6,2.7,0,15.4
Pontal do Paranapanema,35115,75.5,68.9,74.5,610.54,47.35,0.74,9,17,69730,75.5,68.9,74.5,35255,34475,9.8,30.7,14.5,1423.3,2.3,21.3,303.6,155.7,460.1,15.8,11.5,83.2,83.2,18.64,1.43,1.43,70.27,18.64,0,1.43,0,0,99.7,108.1,97.5,74.4,35.6,0.98,11.9,98.3,445.9,74.7,0,5.8,3.5,8.1,0,17.5
Vale do Ribeira,35121,71.8,73.2,86,506.88,54.68,0.714,7.8,21.2,281684,71.8,73.2,86,142947,138737,8.4,38.8,13.2,1133.9,3.4,26.3,298.5,101.3,412.5,11.7,8.9,79.5,75.6,9.23,8.17,9.94,77.75,9.23,7.1,8.88,0,0,98.8,104.3,65.5,60.8,8,0.95,9.9,70.4,150.8,64.2,13,5.5,2.2,5.5,24.9,13.2
Horizonte Verde,35131,95,98.2,98.2,793.68,41.39,0.751,7.1,138,405108,95,98.2,98.2,204864,200244,6.6,15.8,10.1,1179.4,1.5,22.4,263.6,109.2,385.3,10.9,5.2,43.7,37.3,1.48,9.87,10.12,51.34,1.48,6.17,5.68,1.8,1.1,99.7,99.2,11.1,40.3,12.2,0.4,45.6,27.4,115.3,73.6,8,8.1,2.5,1.6,17.9,12.2
Aquífero Guarani,35132,96.7,98,99,1102.77,40.18,0.788,5.2,182.9,831058,96.7,98,99,408832,422226,3.5,12.7,14.2,1254.8,1.9,26.4,331.4,118.4,467.2,17.1,7.2,108.9,98.5,3.61,23.1,32.73,170.14,3.61,13.48,26.59,6.1,3.7,99.5,90.8,13.7,165.7,0.8,0.51,40.1,29.3,79,79.2,15,5.1,1,2.9,18.5,9
Vale das Cachoeiras,35133,90.9,92.9,95.3,745.15,44.38,0.745,4.4,39,131234,90.9,92.9,95.3,65873,65361,4.9,16.4,10.7,1118.6,2.7,24.7,276.2,160.2,458.8,9.1,7.6,67.8,67.8,6.86,6.1,14.48,119.63,6.86,5.33,12.19,0,0,99.8,102.7,49,41.2,29.1,0.67,20.4,62.6,176.5,83.5,1,8.1,0.6,4.4,0,13.1
Baixa Mogiana,35141,93.9,95.8,97.8,802.64,39.67,0.773,7,163.5,311303,93.9,95.8,97.8,155924,155379,4.4,14.7,9.8,1337.1,2.1,25.2,337.3,185.2,503.6,9.3,3.5,69.1,59.4,3.85,3.21,9.32,70.67,3.85,2.25,7.07,2.8,1.8,99.6,96.1,23.3,83.5,3.2,0.62,35.6,52.6,121.3,78.6,13,4.9,2.6,3.1,25.8,10.6
Mantiqueira,35142,91.5,93.6,94.6,827.65,42.85,0.761,5.4,98.2,270624,91.5,93.6,94.6,135250,135374,5.4,16.4,12.5,1029.6,2.1,25.1,258.3,109.6,363.8,12.9,6.3,53.9,44.7,1.48,2.59,1.85,63.56,1.48,1.48,1.85,0,0,99.8,99,21.7,74.1,5.7,0.47,32,36.5,102.7,80.8,4,6.7,1.8,4.9,30.4,13.4
Rio Pardo,35143,84.8,87,91.1,719.09,42.75,0.751,5.8,62.4,214816,84.8,87,91.1,109077,105739,5.6,20.8,12.2,1096.6,2.1,22.2,243.3,105.4,358.1,19.6,8.4,71.2,68.4,1.86,1.4,4.19,65.17,1.86,1.4,4.19,0,0,99.9,98.4,25.3,82.3,5,0.61,26,29.9,123,85.1,2,5.6,2,4.4,39.8,11.9
Catanduva,35151,93.1,95.5,95.2,791.07,41.86,0.76,4.3,62.7,300227,93.1,95.5,95.2,151504,148723,6.6,11.8,8.8,1298.9,1.9,22.6,293.1,91,384.2,21.7,11.3,64.6,63,5.66,4.33,8.33,70.95,5.66,2.66,6.99,3.2,2.6,99.7,112.3,33.6,91.2,2.8,0.51,28.8,37,163.7,92.6,0,3.5,3.2,2.6,0,9.4
Santa Fé do Sul,35152,88.8,88.4,91.9,795.23,42.85,0.773,5.4,41,45583,88.8,88.4,91.9,22486,23097,7.6,13.1,10.3,1504.7,2.5,21.2,319.5,132.2,447.4,19.7,8.8,94.3,94.3,13.16,4.39,2.19,83.36,13.16,2.19,2.19,0,0,100,97.2,92.7,129.4,8.7,0.9,11.2,95.2,250.4,89,0,8.7,0,0,0,8.7
Jales,35153,86.3,88,88.9,715.55,43.13,0.757,5,41.5,103694,86.3,88,88.9,52104,51590,8.2,16.3,9.2,1445.9,2.6,20.8,301.1,93.4,402.6,9.6,7.7,81,80,4.82,0,3.86,71.36,4.82,0,3.86,5.6,3.7,99.8,100.1,63.2,88.4,13.6,0.76,12.8,78.5,359.1,90.6,2,5.6,3.7,3.7,0,13
Fernandópolis,35154,89.9,91.6,92.9,789.5,42.41,0.777,5.4,34.5,113909,89.9,91.6,92.9,56620,57289,7.4,13.5,10.2,1678.3,1.9,20.3,340.6,91.2,458.5,11.4,6.1,108,103.6,6.15,2.63,1.76,57.06,6.15,2.63,1.76,0,0,99.9,103.3,56.8,77.9,15,0.63,17.8,67.2,317.2,83.8,1,5.9,0.8,5,0,11.8
São José do Rio Preto,35155,88.1,94.2,97.6,956.61,39.49,0.78,4.6,100.7,669066,88.1,94.2,97.6,329789,339277,4.1,12.1,11.1,1145.5,2.1,24.7,282.9,118,401.4,19.1,9.1,101.3,93.9,4.48,17.19,17.04,123.9,4.48,11.06,11.66,3.7,2,99.9,95.2,23.9,127.6,0.9,0.54,37.7,27.7,207.4,87.4,23,3.6,1.9,2.9,49.7,8.3
José Bonifácio,35156,88.7,89.6,91.8,777.78,42.23,0.761,4.7,30.8,94439,88.7,89.6,91.8,47990,46449,6.5,13,9.2,1587.1,1.7,21.4,339.6,57.1,401.7,8.5,5.3,57.2,56.1,6.35,3.18,8.47,63.53,6.35,3.18,8.47,0,0,99.9,112,37.5,42.2,43.8,0.63,21.5,52.8,194.6,68.4,1,5.7,1.9,1.9,94.6,9.5
Votuporanga,35157,89.8,92.1,92.7,784.43,40.49,0.762,5.2,35.5,189553,89.8,92.1,92.7,95761,93792,6.8,14.5,10.1,1299.6,2,20.4,264.7,64.9,335.4,11.6,6.3,69.6,61.2,3.17,1.06,4.75,62.25,3.17,1.06,4.22,4.9,3.4,99.8,104.5,25.2,77.1,8.6,0.6,25.3,40.1,234,84,2,4.4,2.9,5.8,0,13.1
Itapetininga,35161,87.6,86.6,95.2,663.39,45.04,0.745,6.7,57.8,464794,87.6,86.6,95.2,236639,228155,5.1,23.1,11.2,1019.1,1.7,24.1,245.6,116.1,365.1,9.7,6,44.1,41.1,3.44,1.94,2.8,60.67,3.44,1.72,2.37,0,0,99.7,108,27.8,52.5,9.1,0.55,19.1,34.2,89.3,80.9,4,5.3,2.9,3.2,61.8,11.4
Itapeva,35162,78.2,71.3,87.7,472.8,51.17,0.701,7.8,29.1,280769,78.2,71.3,87.7,141783,138986,8.2,42.7,13.8,995.8,3.1,21.5,213.6,182,384.5,15,6.8,58.8,57.7,6.05,1.42,2.14,50.58,6.05,1.42,1.78,3,2.5,99.5,101.3,64.8,78.5,2.9,0.88,6.6,87.3,83.1,82.2,14,9.3,2.5,5.5,25.2,17.4
Sorocaba,35163,87.8,88.7,97.3,851.58,41.73,0.773,7.7,207.7,1564017,87.8,88.7,97.3,784736,779281,4.1,17,12.4,1192.1,1.6,22.3,265.8,112.5,374.3,10.7,3.8,47,44.8,2.62,8.82,12.6,75.32,2.62,5.43,10.04,2.9,1.1,99.8,98.6,11.7,61.4,2.5,0.56,34.3,11.7,91,88,25,6.9,3.2,3.2,46.3,13.4
Alto Vale do Paraíba,35171,93,92.6,99.1,999.13,40.09,0.795,7.7,262.6,1004281,93,92.6,99.1,499176,505105,3.3,16.9,15.2,1549,1.5,23.9,370.6,138.4,497.9,14.5,3.6,64.1,48,1.29,10.55,21.61,97.18,1.29,6.37,13.94,3.3,1.9,99.8,92.3,11.1,73.8,1.7,0.53,48,19.7,117.1,80.5,26,5.2,1.8,3.1,20.5,10
Circuito da Fé e Vale Histórico,35172,91.3,89.7,95.6,715.56,42.87,0.766,8.7,75.1,463644,91.3,89.7,95.6,230456,233188,3.9,25.3,13.8,988.8,2.6,23.9,235.9,142.9,379.1,11.9,6.5,57.8,56.9,6.69,2.59,11.22,95.98,6.69,2.59,10.35,3.2,2.2,98.7,98.1,43.5,63,2.3,0.42,25.5,41,167.8,71.7,2,7.1,1.5,3.4,16.8,11.9
Litoral Norte,35173,79.3,73.4,99.5,751.21,43.95,0.76,7,149,290141,79.3,73.4,99.5,146257,143884,5,22.5,14,1782,3.4,29.8,530.6,127.9,664.1,12.4,5.9,71.7,68.9,17.58,3.45,6.55,82.37,17.58,2.07,4.48,0,0,99.5,97.6,81.3,96.1,3.8,0.61,19.5,85.7,85.3,77,5,9.9,1.1,3.7,23,14.7
Vale do Paraíba/Região Serrana,35174,90.6,92,97.9,857.62,41.59,0.781,7.8,135.4,573732,90.6,92,97.9,287477,286255,3.7,19.1,13.9,1308.7,1.3,20.9,273.7,78.8,352.8,9.9,4,61.4,55.3,6.97,7.67,17.6,89.41,6.8,5.58,12.72,5.8,2.2,99.5,94.1,31.5,64,2.4,0.55,32,29.5,99.4,80.4,2,9.1,2.4,3.1,25.6,14.6
1ª RS Paranaguá,41001,86.8,79.5,96,692.79,49.09,0.732,7.3,45,272618,86.8,79.5,96,136066,136552,4.9,27.6,14.3,1014.1,0.8,18.3,185.5,56.1,261.3,7.7,4.8,49.5,47.7,9.17,5.14,7.34,51.72,9.17,4.4,5.87,1.7,0,99.5,100.1,40.8,76,8.8,0.55,18,53.2,72.9,57.6,2,6.6,1.5,3.9,49,12
2ª RS Metropolitana,41002,93.1,86.8,97.2,1112.12,41.04,0.783,4.7,199.7,3311632,93.1,86.8,97.2,1627028,1684604,3.3,14.8,14.4,1159.5,1.4,18.7,216.3,198.4,393,15.6,4.7,65,58.9,8.12,12.56,15.61,115.99,8.09,6.19,9.66,3.9,2.2,98.7,99.6,37.8,113.7,0.6,0.56,39.4,42.6,61.9,82.6,99,6.2,2.2,3,40.3,11.5
3ª RS Ponta Grossa,41003,85.7,68.5,87.5,722.38,47.69,0.737,6.1,39.9,591134,85.7,68.5,87.5,294321,296813,5,27.7,15.7,917.5,1.5,20.1,184.1,88.8,269.7,12.5,7.4,49.7,48.6,7.61,3.04,4.74,68.51,7.61,2.71,3.38,1.9,0.6,99.8,94.5,42.1,82.6,3,0.54,17.1,49.6,52.4,80.6,2,8.1,1.8,3.8,94.9,13.7
4ª RS Irati,41004,69.9,51.4,72.3,552.12,47.39,0.689,4.2,27.1,165346,69.9,51.4,72.3,84182,81164,5.5,33.8,13.3,901.4,2.4,20.7,186.9,68.5,259.4,12.7,4.8,49,46.6,10.89,2.42,2.42,40.52,10.89,1.21,1.21,4.6,4.2,99.7,96.8,60.3,46.8,5.3,0.82,5.5,71,70,87.1,0,8.4,3.4,6.7,167.9,18.5
5ª RS Guarapuava,41005,69.3,40.2,71.2,559.99,49.88,0.693,4.7,22.7,453083,69.3,40.2,71.2,227870,225213,8.3,37.1,15.3,887.4,2,18.3,162,82.1,251.2,10.2,7.5,43.9,43.3,7.72,1.32,2.43,44.8,7.72,1.1,1.99,1.4,0.8,99.2,99.4,59.6,86.3,2.4,0.63,6.7,79.3,115.8,69.6,0,11.1,2,4.8,14.1,17.9
6ª RS União da Vitória,41006,66.7,59.5,71.2,551.17,49.33,0.707,5.2,23.3,169799,66.7,59.5,71.2,86246,83553,4.9,33.9,12.6,966.5,2.4,24.5,236.7,61.1,306.7,12.4,7.7,39.5,38.3,2.94,2.36,1.18,60.66,2.94,1.18,1.18,4.4,3.5,99.8,106.7,44.2,57.8,4.3,0.73,8.5,60.2,54.1,77.3,1,2.6,1.8,3.5,0,7.9
7ª RS Pato Branco,41007,77.3,56.5,80.1,701.38,47.42,0.723,3.5,27.6,256595,77.3,56.5,80.1,127430,129165,7,27.6,13.7,1099.6,2.2,19.3,212,191.3,402.3,25.3,14.8,66.3,63.9,6.24,4.68,3.51,62.36,6.24,4.29,3.12,3.4,2.6,99.5,100.3,59.8,214.2,0.8,1.01,11.7,71.7,121.6,85.1,2,6.8,1.8,2.6,105.2,11.3
8ª RS Francisco Beltrão,41008,74.1,42.5,77.4,693.18,45.07,0.733,3,44.7,346901,74.1,42.5,77.4,174417,172484,7.7,22.8,11.3,1069.7,2.7,19.5,208.7,156.5,372,17.6,10.7,71.8,70.6,7.49,1.15,1.44,51.6,7.49,0.86,1.44,4.4,1.8,99.8,94.7,72.9,49.2,3.3,0.85,9.4,78.7,298.9,84.9,1,9.5,2.7,3.5,66.5,15.7
9ª RS Foz do Iguaçu,41009,91.5,60.7,95.7,767.86,43.87,0.746,6,98,399384,91.5,60.7,95.7,196859,202525,5.9,23.3,14.1,957.3,2.1,24.2,231.4,207.6,470.2,23.5,7.5,54.6,52.3,10.27,4.01,4.76,73.36,10.27,2.5,3.76,1.9,1.3,99.3,101.4,48.5,224,0.7,0.62,16.2,60.1,229.7,74.2,0,4.5,2.1,3.6,64.7,10.2
10ª RS Cascavel,41010,81,44.6,85.6,787.44,43.57,0.749,4.3,44.3,521199,81,44.6,85.6,259583,261616,6.5,21.3,13,990.6,1.7,21.5,213.1,63.9,288.1,14.8,5,61.2,57.2,4.22,3.45,5.18,69.65,4.22,3.45,4.41,4.3,2.2,99.5,101.6,36.2,80.5,2.5,0.74,14.8,43.2,405.9,78.5,4,5.9,1.2,3,54.8,10.1
11ª RS Campo Mourão,41011,83,34.7,84.3,630.18,45.45,0.722,5.2,28.8,343224,83,34.7,84.3,170543,172681,10.7,26.8,11.6,1030.4,2.5,19.5,200.6,160.3,370.9,11.1,7,55.4,52.4,8.74,2.33,2.91,48.66,8.74,2.04,2.62,1.1,1.1,99.8,96.6,78.8,78.8,5.4,0.64,13,79.5,146,85.4,0,7.5,2.7,2.5,45.7,12.8
12ª RS Umuarama,41012,86.4,43.1,85.7,661.65,44.65,0.724,4.8,26.6,272313,86.4,43.1,85.7,135085,137228,9.9,20.4,9.7,1031.3,3,19,195.6,208.7,400.2,12.1,7.3,50.7,49.6,5.88,4.04,1.1,70.87,5.88,4.04,0,5.2,2.9,99.8,99.8,73.1,60.8,6.2,0.69,9.9,75,106,86,1,6.3,2.3,1.4,57.6,10.1
13ª RS Cianorte,41013,87.8,48,90.2,701.18,42.73,0.734,3.6,35.9,146312,87.8,48,90.2,72957,73355,7.6,13.9,7.7,1117.8,2.3,21.4,238.8,134.8,384.7,5.5,3.4,59.5,59.5,5.47,0,0.68,68.35,5.47,0,0,0,0,99.9,103.5,69.3,68.8,7.4,0.6,16.6,67.5,73.3,86.1,2,7.8,1,2.1,104,10.9
14ª RS Paranavaí,41014,86.2,43.7,88.7,659.04,45.81,0.728,4.9,27.2,267639,86.2,43.7,88.7,133336,134303,9.5,19.9,9.8,1083,3,23.8,257.3,86.9,364.5,10.5,7.5,65,63.5,8.22,5.6,2.99,41.1,8.22,3.74,2.62,1.7,1.7,99.9,96.8,83.4,83.5,5.9,0.68,11.2,84.9,179.4,74.2,9,6.6,2.2,3,55.3,11.9
